Date,Open,High,Low,Close,Volume,OI
2017-01-04 00:00:00,7.1,7.45,7.1,7.35,356418200,0
2017-01-05 00:00:00,7.4,7.5,7.35,7.35,295114200,0
2017-01-06 00:00:00,7.35,7.4,7.2,7.2,158519100,0
2017-01-09 00:00:00,7.2,7.25,7.15,7.2,67170500,0
2017-01-10 00:00:00,7.15,7.25,7.0,7.1,207777300,0
2017-01-11 00:00:00,7.1,7.2,7.0,7.1,172486900,0
2017-01-12 00:00:00,7.15,7.15,7.05,7.1,61642200,0
2017-01-13 00:00:00,7.15,7.15,7.05,7.1,51098600,0
2017-01-16 00:00:00,7.1,7.1,7.05,7.1,23766100,0
2017-01-17 00:00:00,7.1,7.2,6.8,6.85,501654200,0
2017-01-18 00:00:00,6.85,6.95,6.8,6.8,155921300,0
2017-01-19 00:00:00,6.8,6.95,6.75,6.9,110997500,0
2017-01-20 00:00:00,6.9,6.95,6.85,6.85,74034700,0
2017-01-23 00:00:00,6.9,6.9,6.75,6.8,93939300,0
2017-01-24 00:00:00,6.85,6.85,6.7,6.7,128177700,0
2017-01-25 00:00:00,6.75,6.75,6.6,6.6,116644800,0
2017-01-26 00:00:00,6.7,6.8,6.6,6.65,169561100,0
2017-01-27 00:00:00,6.65,6.75,6.6,6.65,88927200,0
2017-01-30 00:00:00,6.7,6.7,6.6,6.65,45459900,0
2017-01-31 00:00:00,6.65,6.65,6.55,6.55,84317900,0
2017-02-01 00:00:00,6.55,6.55,6.45,6.5,191084400,0
2017-02-02 00:00:00,6.5,6.5,6.4,6.4,75947400,0
2017-02-03 00:00:00,6.45,6.5,6.35,6.4,79839500,0
2017-02-06 00:00:00,6.45,6.45,6.2,6.25,202775700,0
2017-02-07 00:00:00,6.25,6.25,6.15,6.2,119044400,0
2017-02-08 00:00:00,6.2,6.5,6.15,6.4,396148600,0
2017-02-09 00:00:00,6.45,6.5,6.3,6.3,111939700,0
2017-02-10 00:00:00,6.3,6.35,6.15,6.2,165958400,0
2017-02-14 00:00:00,6.15,6.25,6.15,6.2,63435800,0
2017-02-15 00:00:00,6.2,6.25,6.15,6.15,57208600,0
2017-02-16 00:00:00,6.2,6.3,6.15,6.2,187081500,0
2017-02-17 00:00:00,6.25,6.3,6.15,6.2,112450000,0
2017-02-20 00:00:00,6.2,6.25,6.05,6.2,142227300,0
2017-02-21 00:00:00,6.2,6.3,6.15,6.15,69280700,0
2017-02-22 00:00:00,6.15,6.25,6.1,6.25,62443600,0
2017-02-23 00:00:00,6.2,6.3,6.2,6.25,71659500,0
2017-02-24 00:00:00,6.25,6.3,6.2,6.25,31387400,0
2017-02-27 00:00:00,6.2,6.25,6.15,6.15,25589800,0
2017-02-28 00:00:00,6.15,6.25,6.1,6.25,75238600,0
2017-03-01 00:00:00,6.25,6.5,6.25,6.45,330639200,0
2017-03-02 00:00:00,6.5,6.55,6.35,6.35,169474200,0
2017-03-03 00:00:00,6.35,6.6,6.35,6.6,226409700,0
2017-03-06 00:00:00,6.6,6.6,6.4,6.45,91573500,0
2017-03-07 00:00:00,6.45,6.55,6.4,6.45,74601700,0
2017-03-08 00:00:00,6.45,6.5,6.3,6.5,121114500,0
2017-03-09 00:00:00,6.45,6.5,6.35,6.4,93275100,0
2017-03-10 00:00:00,6.45,6.45,6.25,6.25,83891300,0
2017-03-13 00:00:00,6.3,6.3,6.2,6.25,61594600,0
2017-03-14 00:00:00,6.2,6.3,6.2,6.25,62122700,0
2017-03-15 00:00:00,6.2,6.25,6.15,6.2,66764200,0
2017-03-16 00:00:00,6.25,6.45,6.2,6.45,332033600,0
2017-03-17 00:00:00,6.45,6.5,6.35,6.4,111611600,0
2017-03-20 00:00:00,6.4,6.45,6.35,6.4,71025800,0
2017-03-21 00:00:00,6.4,6.55,6.35,6.5,197915000,0
2017-03-22 00:00:00,6.45,6.5,6.4,6.4,89921200,0
2017-03-23 00:00:00,6.45,6.5,6.4,6.4,52570100,0
